Title,Link,Completed
King's Game,https://anilist.co/anime/99698/Kings-Game/,True
Mononoke,https://anilist.co/anime/2246/Mononoke/,True
Gangsta,https://anilist.co/anime/20773/GANGSTA/,True
xxxHolic,https://anilist.co/anime/861/xxxHOLiC/,True
Baki,https://anilist.co/anime/97888/BAKI/,True
Pupa,https://anilist.co/anime/19315/Pupa/,True
Lain,https://anilist.co/anime/339/Serial-Experiments-Lain/,True
Ergo Proxy,https://anilist.co/anime/790/Ergo-Proxy/,True
Madoka,https://anilist.co/anime/9756/Puella-Magi-Madoka-Magica/,True
FLCL,https://anilist.co/anime/227/FLCL/,True
Toilet-bound,https://anilist.co/anime/108463/Toiletbound-Hanakokun/,True
Initial D,https://anilist.co/anime/185/Initial-D-1st-Stage/,True
Haibane Renmei,https://anilist.co/anime/387/Haibane-Renmei/,False
Grand Blue,https://anilist.co/anime/100922/Grand-Blue-Dreaming/,False
Texhnolyze,https://anilist.co/anime/26/Texhnolyze/,True
Knights of Sidonia,https://anilist.co/anime/19775/Knights-of-Sidonia/,False
Gundam,https://anilist.co/anime/21268/Mobile-Suit-GUNDAM-Iron-Blooded-Orphans/,True
Paranoia Agent,https://anilist.co/anime/323/Paranoia-Agent/,True
Ex-Arm,https://anilist.co/anime/106503/EXARM/,False
EAT-MAN,https://anilist.co/anime/1704/EATMAN/,False
DRIFTERS,https://anilist.co/anime/21123/DRIFTERS/,False
Conception,https://anilist.co/anime/101609/Conception/,False
OddTaxi,https://anilist.co/anime/128547/ODDTAXI/,True
Kaiji,https://anilist.co/anime/3002/Kaiji--Ultimate-Survivor/,False
Eden of the East,https://anilist.co/anime/5630/Eden-of-the-East/,False
Irina,https://anilist.co/anime/131019/Irina-The-Vampire-Cosmonaut,False
